time,car_ID,x_axis,y_axis,speed,direction,transmitter_SNR
0,v1,0,0,30,0,40
0,v2,0,10,20,0,20
0,v3,200,20,20,1,20
0,v4,0,0,20,0,40
1,v1,30,0,10,0,40
1,v2,20,10,50,0,20
1,v3,180,20,10,1,20
1,v4,20,0,50,0,40
2,v1,40,0,40,0,40
2,v2,70,10,10,0,20
2,v3,170,20,10,1,20
2,v4,70,0,10,0,40
3,v1,80,0,20,0,40
3,v2,80,10,20,0,20
3,v3,160,20,50,1,20
3,v4,80,0,50,0,40
4,v1,100,0,10,0,40
4,v2,100,10,50,0,20
4,v3,110,20,20,1,20
4,v4,130,0,50,0,40
5,v1,110,0,40,0,40
5,v2,150,10,20,0,20
5,v3,90,20,40,1,20
5,v4,180,0,50,0,40
6,v1,150,0,30,0,40
6,v2,170,10,10,0,20
6,v3,50,20,20,1,20
7,v1,180,0,40,0,40
7,v2,180,10,30,0,20
7,v3,30,20,30,1,20
